# t (s)	mx ()	my ()	mz ()
2.340004294046195e-09	0.9972522	-3.4626268e-05	-0.00018472922
2.3500061807119785e-09	0.9972521	0.0002461493	-0.00016156747
2.3600079291777003e-09	0.997252	0.00045514546	-0.000100167956
2.370009485600693e-09	0.99725175	0.0005511443	-2.1961334e-05
2.380011120789599e-09	0.99725175	0.0005178185	6.211397e-05
2.390012762504104e-09	0.9972521	0.00036438435	0.0001288935
2.400014427219693e-09	0.9972522	0.00012336951	0.00016982919
2.4100162125745978e-09	0.9972521	-0.00015258997	0.00016828561
2.4200182019962287e-09	0.9972521	-0.00039819913	0.00012750234
2.430020350291556e-09	0.9972518	-0.00054852484	4.881318e-05
2.4400225250638277e-09	0.99725187	-0.00055796694	-4.3468623e-05
2.4500247363134978e-09	0.99725205	-0.0004165491	-0.00013018464
2.4600269773705976e-09	0.99725205	-0.000157805	-0.0001800906
2.470000496250801e-09	0.9972522	0.000146783	-0.00018269946
2.4800024423594444e-09	0.9972521	0.0004111182	-0.00013047995
2.490004358646217e-09	0.997252	0.0005576461	-4.4326476e-05
2.500006175072128e-09	0.99725187	0.0005460215	5.5079257e-05
2.5100078690606615e-09	0.99725187	0.000384718	0.00013270667
2.5200095172284823e-09	0.9972521	0.0001259812	0.00017267322
2.530011233524846e-09	0.9972521	-0.00015282092	0.0001610591
2.540013027947545e-09	0.9972521	-0.00037539267	0.000110655135
2.5500148488353763e-09	0.99725205	-0.000488515	3.3273765e-05
2.5600167553625654e-09	0.99725205	-0.0004735445	-4.382264e-05
2.5700188237969405e-09	0.99725205	-0.00034501025	-0.00010757013
2.5800209362048023e-09	0.99725205	-0.00014175987	-0.00013971941
2.590022990638723e-09	0.9972521	8.578391e-05	-0.00014120848
2.6000250598564383e-09	0.9972521	0.00028675108	-0.000108342596
2.610027167181884e-09	0.9972521	0.00041841515	-5.4177093e-05
2.620000509374821e-09	0.9972521	0.000451627	1.5306821e-05
2.6300024307551217e-09	0.9972521	0.000376542	8.028454e-05
2.6400043106430994e-09	0.9972521	0.00020619933	0.00013051051
2.65000611619272e-09	0.99725205	-2.1610418e-05	0.00014685902
